Data,BizikletaID,Hiria,Minutuak,Km_egindakoak
2026-04-08,7,Iruñea,25,5.93
2026-04-10,2,Gasteiz,68,15.23
2026-04-11,1,Donostia,44,8.07
2026-04-12,10,Donostia,74,25.26
2026-04-16,1,Donostia,44,6.65
2026-04-17,10,Gasteiz,87,22.39
2026-04-18,2,Gasteiz,46,7.06
2026-04-19,4,Bilbo,89,30.58
2026-04-19,8,Baiona,82,20.2
2026-04-20,2,Baiona,75,11.71
2026-04-21,6,Baiona,78,24.05
2026-04-21,10,Donostia,56,11.94
2026-04-21,1,Gasteiz,13,2.91
2026-04-22,7,Iruñea,72,11.04
2026-04-22,3,Baiona,20,5.25
2026-04-23,7,Gasteiz,74,22.14
2026-04-26,3,Donostia,63,11.67
2026-04-27,1,Iruñea,80,13.94
2026-04-28,7,Iruñea,23,5.67
2026-04-29,9,Gasteiz,17,5.43
2026-04-29,1,Bilbo,75,22.26
2026-05-01,6,Baiona,85,14.42
2026-05-02,2,Iruñea,84,15.6
2026-05-02,10,Bilbo,20,3.35
2026-05-03,8,Gasteiz,45,15.56
2026-05-04,2,Baiona,32,4.98
2026-05-04,1,Bilbo,8,1.59
2026-05-07,2,Donostia,71,22.94
2026-05-09,8,Gasteiz,67,21.89
2026-05-09,7,Gasteiz,9,2.35
2026-05-10,6,Donostia,80,12.34
2026-05-11,7,Bilbo,59,16.41
2026-05-12,2,Gasteiz,45,8.2
2026-05-12,2,Donostia,57,18.43
2026-05-14,9,Iruñea,51,17.05
2026-05-14,9,Iruñea,42,9.77
2026-05-15,7,Gasteiz,28,6.13
2026-05-16,6,Baiona,45,15.29
2026-05-17,2,Baiona,21,4.27
2026-05-18,6,Baiona,16,5.14
2026-05-21,6,Iruñea,13,4.15
2026-05-24,7,Donostia,20,5.8
2026-05-27,4,Bilbo,42,8.78
2026-05-29,7,Baiona,89,29.5
2026-06-02,2,Baiona,73,22.13
2026-06-02,7,Donostia,66,14.07
2026-06-03,2,Gasteiz,60,12.14
2026-06-05,4,Donostia,53,17.25
2026-06-05,4,Bilbo,48,9.66
2026-06-07,5,Baiona,56,15.9
2026-06-07,3,Donostia,23,6.22
2026-06-07,3,Bilbo,82,17.25
2026-06-08,7,Iruñea,51,14.84
2026-06-09,2,Donostia,16,4.99
2026-06-09,6,Iruñea,9,1.71
2026-06-10,4,Iruñea,35,8.85
2026-06-10,7,Baiona,70,16.54
2026-06-12,9,Gasteiz,48,13.28
2026-06-13,5,Donostia,43,13.05
2026-06-16,2,Iruñea,57,10.32
2026-06-18,7,Iruñea,7,1.82
2026-06-19,1,Iruñea,8,1.65
2026-06-21,2,Baiona,71,12.35
2026-06-22,3,Baiona,30,7.53
2026-06-22,4,Donostia,30,8.11
2026-06-22,8,Donostia,60,14.91
2026-06-23,10,Gasteiz,67,14.31
2026-06-24,6,Iruñea,70,19.43
2026-06-24,2,Bilbo,75,24.15
2026-06-25,6,Bilbo,76,24.0
2026-06-25,8,Iruñea,12,3.3
2026-06-26,4,Gasteiz,63,21.01
2026-06-26,5,Baiona,11,3.83
2026-06-28,8,Gasteiz,31,7.11
2026-06-29,10,Baiona,49,15.5
2026-06-29,9,Baiona,36,8.46
2026-07-01,7,Bilbo,67,22.03
2026-07-02,9,Gasteiz,90,27.14
2026-07-02,7,Bilbo,18,5.16
2026-07-02,6,Baiona,37,8.43
2026-07-02,5,Donostia,59,15.67
2026-07-02,2,Iruñea,75,21.26
2026-07-03,3,Donostia,23,6.02
2026-07-04,6,Bilbo,29,8.76
2026-07-06,7,Iruñea,84,27.59
2026-07-06,5,Iruñea,18,5.2
2026-07-07,1,Iruñea,22,3.4
2026-07-08,7,Bilbo,16,3.67
2026-07-09,8,Baiona,40,10.98
2026-07-12,7,Bilbo,71,22.11
2026-07-15,8,Baiona,42,14.27
2026-07-17,5,Donostia,18,3.4
2026-07-18,2,Donostia,80,25.99
2026-07-19,3,Bilbo,89,28.38
2026-07-19,3,Baiona,18,3.01
2026-07-21,10,Gasteiz,78,12.4
2026-07-24,6,Gasteiz,64,15.0
2026-07-24,1,Bilbo,70,22.57
2026-07-25,9,Baiona,66,20.52
2026-07-27,10,Donostia,75,13.8
2026-07-28,1,Donostia,63,17.59
2026-07-30,3,Bilbo,80,16.9
2026-07-30,7,Gasteiz,32,8.52
2026-07-31,10,Baiona,48,12.59
2026-08-02,3,Baiona,69,14.36
2026-08-03,3,Donostia,8,1.63
2026-08-04,2,Bilbo,81,22.22
2026-08-04,7,Iruñea,53,10.49
2026-08-05,1,Baiona,87,21.4
2026-08-05,6,Bilbo,73,25.43
2026-08-05,6,Donostia,38,6.6
2026-08-06,10,Baiona,68,21.99
2026-08-10,5,Bilbo,71,15.11
2026-08-11,3,Donostia,13,2.71
2026-08-20,10,Donostia,13,3.32
2026-08-20,7,Gasteiz,49,15.83
2026-08-20,2,Gasteiz,60,18.07
2026-08-21,5,Baiona,57,13.87
2026-08-23,2,Baiona,73,15.21
2026-08-23,1,Bilbo,88,28.72
2026-08-23,4,Gasteiz,50,12.09
2026-08-24,4,Bilbo,40,13.89
2026-08-25,3,Iruñea,29,5.91
2026-08-26,8,Iruñea,45,8.34
2026-08-26,2,Bilbo,47,16.19
2026-08-28,3,Gasteiz,65,12.9
2026-08-28,7,Gasteiz,87,24.46
2026-08-29,1,Donostia,85,29.38
2026-08-30,8,Baiona,17,3.38
2026-08-30,2,Iruñea,37,9.9
2026-08-31,10,Baiona,36,11.32
2026-09-01,6,Gasteiz,8,1.24
2026-09-02,5,Gasteiz,51,11.71
2026-09-02,3,Baiona,69,23.22
2026-09-02,2,Iruñea,78,18.14
2026-09-03,5,Iruñea,77,25.81
2026-09-03,5,Iruñea,28,9.62
2026-09-03,4,Donostia,7,1.44
2026-09-03,6,Iruñea,49,15.11
2026-09-05,10,Iruñea,65,20.82
2026-09-07,9,Iruñea,39,12.41
2026-09-08,9,Bilbo,39,11.9
2026-09-11,7,Gasteiz,17,4.86
2026-09-12,8,Iruñea,70,21.23
2026-09-17,5,Bilbo,26,5.59
2026-09-19,2,Bilbo,58,13.81
2026-09-20,5,Iruñea,30,6.71
2026-09-20,8,Iruñea,90,23.7
2026-09-21,6,Iruñea,17,4.04
2026-09-22,3,Baiona,32,9.83
2026-09-22,4,Baiona,61,11.14
2026-09-23,6,Iruñea,68,11.84
2026-09-23,10,Gasteiz,66,13.58
2026-09-24,10,Donostia,50,13.52
2026-09-24,6,Donostia,37,9.24
2026-09-25,8,Baiona,16,5.13
2026-09-26,9,Baiona,67,15.39
2026-09-27,6,Baiona,66,15.77
2026-09-27,8,Iruñea,49,12.7
2026-09-27,7,Baiona,33,5.04
2026-09-28,2,Donostia,21,3.17
2026-09-28,5,Bilbo,82,20.89
2026-09-28,1,Donostia,9,2.68
2026-09-28,9,Baiona,66,15.83
2026-09-30,10,Baiona,77,14.32
2026-10-02,9,Iruñea,18,5.13
2026-10-03,10,Baiona,43,14.29
2026-10-04,2,Bilbo,88,16.77
2026-10-05,1,Gasteiz,33,8.35
2026-10-05,9,Bilbo,68,21.35
2026-10-07,2,Iruñea,65,19.04
2026-10-07,6,Gasteiz,61,12.37
2026-10-07,3,Iruñea,87,23.89
2026-10-10,6,Baiona,90,15.17
2026-10-12,4,Donostia,6,1.4
2026-10-12,6,Bilbo,74,24.98
2026-10-12,7,Gasteiz,59,18.54
2026-10-13,1,Gasteiz,57,19.06
2026-10-14,10,Iruñea,71,20.32
2026-10-15,5,Bilbo,47,16.19
2026-10-15,1,Bilbo,85,26.4
2026-10-15,1,Bilbo,61,20.99
2026-10-18,2,Baiona,40,10.45
2026-10-18,7,Bilbo,24,5.72
2026-10-21,4,Baiona,74,22.03
2026-10-22,3,Donostia,45,12.73
2026-10-22,10,Donostia,54,16.73
2026-10-23,5,Donostia,17,4.88
2026-10-24,5,Baiona,37,6.52
2026-10-24,5,Gasteiz,59,18.97
2026-10-26,9,Bilbo,75,20.79
2026-10-28,10,Baiona,67,20.11
2026-10-29,8,Bilbo,74,14.4
2026-10-29,3,Donostia,69,14.68
2026-10-30,4,Gasteiz,49,11.37
2026-10-30,8,Bilbo,19,5.09
2026-10-31,6,Baiona,38,8.06
2026-11-01,8,Donostia,30,9.01
2026-11-02,2,Donostia,21,5.34
2026-11-04,2,Bilbo,55,9.6
2026-11-05,1,Gasteiz,57,13.86
2026-11-07,8,Gasteiz,48,10.54
2026-11-07,5,Gasteiz,44,7.57
2026-11-13,2,Gasteiz,31,4.7
2026-11-13,2,Bilbo,32,5.92
2026-11-13,2,Iruñea,86,14.32
2026-11-13,4,Bilbo,11,3.21
2026-11-15,1,Baiona,90,15.35
2026-11-15,8,Iruñea,43,8.61
2026-11-15,4,Bilbo,70,14.73
2026-11-16,3,Baiona,71,13.59
2026-11-16,8,Donostia,86,23.14
2026-11-17,7,Gasteiz,45,8.0
2026-11-17,1,Donostia,45,8.57
2026-11-19,6,Bilbo,54,10.14
2026-11-19,5,Baiona,71,22.98
2026-11-19,1,Gasteiz,42,12.13
2026-11-21,2,Gasteiz,42,11.12
2026-11-22,6,Donostia,9,2.71
2026-11-22,10,Bilbo,61,21.19
2026-11-25,10,Bilbo,19,3.5
2026-11-26,2,Baiona,90,29.38
2026-11-26,8,Gasteiz,27,6.18
2026-11-27,8,Iruñea,20,5.86
2026-11-28,2,Gasteiz,69,23.48
2026-11-28,2,Baiona,56,8.78
2026-11-28,9,Baiona,31,7.28
2026-11-28,6,Donostia,89,19.34
2026-11-29,10,Donostia,27,7.04
2026-11-30,3,Baiona,46,10.25
2026-11-30,8,Donostia,42,7.07
2026-12-02,6,Gasteiz,63,17.1
2026-12-03,9,Gasteiz,46,15.25
2026-12-04,10,Donostia,65,11.64
2026-12-05,4,Bilbo,28,7.24
2026-12-05,7,Baiona,71,22.18
2026-12-07,5,Iruñea,33,10.68
2026-12-07,4,Baiona,70,14.5
2026-12-08,3,Bilbo,89,23.55
2026-12-10,4,Baiona,42,11.03
2026-12-10,4,Gasteiz,26,8.31
2026-12-12,7,Baiona,64,17.39
2026-12-14,4,Donostia,15,3.31
2026-12-14,4,Gasteiz,20,4.03
2026-12-16,3,Bilbo,29,7.55
2026-12-17,5,Donostia,62,9.44
2026-12-17,1,Gasteiz,78,22.89
2026-12-18,9,Iruñea,21,3.53
2026-12-20,10,Gasteiz,56,16.86
2026-12-23,2,Donostia,73,14.12
2026-12-24,2,Gasteiz,80,25.5
2026-12-24,3,Donostia,53,8.9
2026-12-25,1,Iruñea,38,6.24
2026-12-30,3,Baiona,44,6.82
2026-12-30,6,Iruñea,81,15.93
